y,x,d,t
11,18,1,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,1,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,2,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,2,4
12,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
12,1,0,5
-2,-2,-2,-2
-3,2,2,-3
1,8,0,3
1,9,0,3
1,10,0,3
1,11,0,3
1,12,0,3
